name	strand_label	strand	start	end	ef_mean	ef_median	libraries	bin_index	length	n_libraries	frac_libraries
REZ1L	Light	+	1600	1800	2.77148712709666	2.13781456722602	FS185,FS186,FS187,FS188,FS193,FS195,FS196,FS197,FS198,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS305,FS307,FS309,FS310,FS326,FS327,FS329	8	200	28	0.875
REZ2L	Light	+	6400	6600	2.71665586466713	2.54593702999038	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS307,FS309,FS310,FS326,FS327,FS329	32	200	27	0.8438
REZ3L	Light	+	7000	7200	4.53580749177	4.19133690501905	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS307,FS309,FS310,FS326,FS327,FS329	35	200	32	1.0
REZ4L	Light	+	8000	8200	1.97751492749739	1.71451065975426	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS201,FS203,FS257,FS258,FS259,FS260,FS300,FS301,FS303,FS305,FS306,FS309,FS310,FS326,FS327,FS329	40	200	26	0.8125
REZ5L	Light	+	8200	8400	2.16982488163948	1.99109449767229	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS309,FS326,FS329	41	200	28	0.875
REZ6L	Light	+	13000	13200	3.08207877231367	2.89729540209478	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS259,FS261,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS307,FS309,FS310,FS326,FS327,FS329	65	200	29	0.9062
REZ7L	Light	+	13400	13600	2.57421608836811	1.94716424124547	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS310,FS326,FS327,FS329	67	200	30	0.9375
REZ8L	Light	+	16400	16569	2.89596463228698	2.68376512459707	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS309,FS310,FS326,FS327,FS329	82	169	30	0.9375
REZ1H	Heavy	-	7600	7800	3.8415551718202	3.16935163394562	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS307,FS309,FS310,FS326,FS327,FS329	38	200	32	1.0
REZ2H	Heavy	-	7800	8000	2.73212895548913	2.00805645364079	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS306,FS307,FS309,FS310,FS326,FS327,FS329	39	200	30	0.9375
REZ3H	Heavy	-	14800	15000	3.40594527131879	2.87306419922876	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS263,FS264,FS300,FS301,FS306,FS307,FS309,FS310,FS326,FS327,FS329	74	200	29	0.9062
REZ4H	Heavy	-	16200	16400	3.72925954225875	3.35281456953646	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS199,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS262,FS263,FS264,FS300,FS301,FS303,FS305,FS306,FS309,FS310,FS326,FS327,FS329	81	200	31	0.9688
REZ5H	Heavy	-	16400	16569	3.47825530034415	3.45968502451188	FS185,FS186,FS187,FS188,FS189,FS193,FS195,FS196,FS197,FS198,FS201,FS203,FS257,FS258,FS259,FS260,FS261,FS300,FS301,FS303,FS305,FS307,FS309,FS326,FS327,FS329	82	169	26	0.8125
