library,n_unmapped,n_realigned,n_junction_spanning,n_mismatch_removed,n_re_removed,n_recovered
FS185,2281,1995,1995,33,0,1962
FS186,3028,2146,2146,34,34,2078
FS187,119,60,60,12,6,42
FS188,127,94,94,16,3,75
FS189,293,247,247,9,3,235
FS193,262,205,205,4,2,199
FS195,318,213,213,20,6,187
FS196,752,606,606,100,62,444
FS197,480,364,364,39,0,325
FS198,240,153,153,15,0,138
FS199,94,47,47,21,6,20
FS201,145,105,105,36,6,63
FS203,560,400,400,74,27,299
FS257,14496,14113,14113,25,0,14088
FS258,6731,6463,6463,18,0,6445
FS259,66607,63360,63360,817,0,62543
FS260,50364,48806,48806,331,0,48475
FS261,3423,2385,2385,31,55,2299
FS262,3868,2500,2500,17,35,2448
FS263,19114,15151,15151,152,503,14496
FS264,8991,6986,6986,37,182,6767
FS300,1231,1061,1061,3,6,1052
FS301,1623,1428,1428,14,18,1396
FS303,424,331,331,18,10,303
FS305,9791,9248,9248,93,538,8617
FS306,320,179,179,5,14,160
FS307,3644,3327,3327,15,143,3169
FS309,989,782,782,10,21,751
FS310,7,5,5,0,0,5
FS326,2846,2736,2736,27,0,2709
FS327,542,517,517,2,0,515
FS329,1797,1742,1742,12,0,1730
