cell_category,n,light_mean,light_sd,heavy_mean,heavy_sd,mwu_p,ours_stars,paper_light_pct,paper_heavy_pct,light_dev_pp
CD4+T,5,62.844,8.236,37.156,8.236,0.008,**,63.58,36.42,0.736
hESC-H9,5,62.751,6.747,37.249,6.747,0.008,**,67.24,32.76,4.489
DLTB,4,27.439,13.229,72.561,13.229,0.029,*,28.02,71.98,0.581
TLTB,4,23.559,7.559,76.441,7.559,0.029,*,24.22,75.78,0.661
WB-GTP-control,1,66.232,,33.768,,,,67.44,32.56,1.208
WB-GTP-PTSD,1,61.32,,38.68,,,,63.58,36.42,2.26
HCT116,1,61.708,,38.292,,,,61.97,38.03,0.261
HEK293T,3,54.734,6.201,45.266,6.201,0.2,ns,55.33,44.67,0.596
RNH2A-KO-T3-8,4,56.401,5.906,43.599,5.906,0.029,*,56.08,43.92,0.321
RNH2A-KO-T3-17,4,50.184,7.732,49.816,7.732,1.0,ns,49.9,50.1,0.284
