library,cat,panel,rAMP,rCMP,rGMP,rUMP
FS185,CD4+T,both,0.542576,0.198122,0.247983,0.01132
FS185,CD4+T,light,0.51868,0.183919,0.284451,0.01295
FS185,CD4+T,heavy,0.555614,0.130055,0.304062,0.010269
FS186,CD4+T,both,0.507135,0.182979,0.300202,0.009685
FS186,CD4+T,light,0.487001,0.195853,0.306449,0.010697
FS186,CD4+T,heavy,0.541283,0.126414,0.323122,0.009181
FS187,CD4+T,both,0.482523,0.223147,0.268701,0.025629
FS187,CD4+T,light,0.471799,0.230387,0.281786,0.016028
FS187,CD4+T,heavy,0.504599,0.151512,0.304912,0.038976
FS188,CD4+T,both,0.507649,0.319043,0.157772,0.015536
FS188,CD4+T,light,0.502279,0.299561,0.185469,0.012691
FS188,CD4+T,heavy,0.542721,0.211043,0.219888,0.026349
FS189,CD4+T,both,0.508912,0.258458,0.218047,0.014583
FS189,CD4+T,light,0.482246,0.277447,0.225695,0.014612
FS189,CD4+T,heavy,0.560935,0.1917,0.231998,0.015368
FS193,HCT116,both,0.519082,0.201034,0.267164,0.01272
FS193,HCT116,light,0.540136,0.217672,0.231779,0.010413
FS193,HCT116,heavy,0.51804,0.10552,0.358626,0.017813
FS195,WB-GTP-control,both,0.24909,0.490354,0.234034,0.026522
FS195,WB-GTP-control,light,0.247891,0.501573,0.223919,0.026617
FS195,WB-GTP-control,heavy,0.280861,0.372237,0.314552,0.032349
FS196,WB-GTP-PTSD,both,0.301953,0.464,0.199832,0.034215
FS196,WB-GTP-PTSD,light,0.277998,0.493501,0.202876,0.025626
FS196,WB-GTP-PTSD,heavy,0.364642,0.357968,0.230074,0.047317
FS197,hESC-H9,both,0.211323,0.58618,0.163349,0.039148
FS197,hESC-H9,light,0.170662,0.636638,0.156876,0.035824
FS197,hESC-H9,heavy,0.296253,0.464876,0.191349,0.047522
FS198,hESC-H9,both,0.286877,0.483398,0.163729,0.065997
FS198,hESC-H9,light,0.21561,0.568849,0.154888,0.060653
FS198,hESC-H9,heavy,0.422418,0.310432,0.188219,0.078932
FS199,hESC-H9,both,0.318257,0.487896,0.160124,0.033723
FS199,hESC-H9,light,0.258263,0.57296,0.149,0.019777
FS199,hESC-H9,heavy,0.506589,0.210449,0.222279,0.060683
FS201,hESC-H9,both,0.323311,0.410029,0.169127,0.097533
FS201,hESC-H9,light,0.280321,0.492674,0.180042,0.046962
FS201,hESC-H9,heavy,0.42009,0.24421,0.182725,0.152975
FS203,HEK293T,both,0.228553,0.34818,0.383683,0.039584
FS203,HEK293T,light,0.207716,0.380602,0.369318,0.042364
FS203,HEK293T,heavy,0.273914,0.250914,0.434707,0.040465
FS257,DLTB,both,0.71586,0.019729,0.250956,0.013454
FS257,DLTB,light,0.776936,0.031514,0.177375,0.014175
FS257,DLTB,heavy,0.765995,0.024859,0.196995,0.012151
FS258,TLTB,both,0.772268,0.029055,0.180869,0.017809
FS258,TLTB,light,0.815156,0.054289,0.110953,0.019602
FS258,TLTB,heavy,0.813027,0.033855,0.137606,0.015511
FS259,DLTB,both,0.804117,0.029589,0.147179,0.019115
FS259,DLTB,light,0.851043,0.038237,0.093361,0.017359
FS259,DLTB,heavy,0.823523,0.034262,0.124344,0.017872
FS260,TLTB,both,0.751071,0.045822,0.180372,0.022735
FS260,TLTB,light,0.789105,0.067802,0.119644,0.02345
FS260,TLTB,heavy,0.781541,0.051297,0.146782,0.02038
FS261,DLTB,both,0.703386,0.021731,0.259231,0.015653
FS261,DLTB,light,0.796272,0.034145,0.154449,0.015133
FS261,DLTB,heavy,0.750297,0.027888,0.207356,0.014459
FS262,TLTB,both,0.758203,0.031275,0.193255,0.017267
FS262,TLTB,light,0.830046,0.054063,0.101344,0.014547
FS262,TLTB,heavy,0.794219,0.035346,0.154411,0.016023
FS263,DLTB,both,0.800606,0.037381,0.140349,0.021664
FS263,DLTB,light,0.82331,0.042779,0.112278,0.021633
FS263,DLTB,heavy,0.805892,0.034638,0.138358,0.021112
FS264,TLTB,both,0.747078,0.049644,0.178069,0.025209
FS264,TLTB,light,0.795911,0.06728,0.112867,0.023942
FS264,TLTB,heavy,0.765875,0.049336,0.160692,0.024097
FS300,RNH2A-KO-T3-8,both,0.181077,0.293973,0.50962,0.015329
FS300,RNH2A-KO-T3-8,light,0.195086,0.316728,0.471578,0.016609
FS300,RNH2A-KO-T3-8,heavy,0.172029,0.235689,0.576901,0.015381
FS301,RNH2A-KO-T3-17,both,0.187007,0.376203,0.420388,0.016402
FS301,RNH2A-KO-T3-17,light,0.189147,0.372465,0.420348,0.018041
FS301,RNH2A-KO-T3-17,heavy,0.184578,0.290207,0.508901,0.016314
FS303,hESC-H9,both,0.160269,0.6446,0.178657,0.016474
FS303,hESC-H9,light,0.167381,0.633797,0.180013,0.018808
FS303,hESC-H9,heavy,0.170972,0.548619,0.262062,0.018348
FS305,HEK293T,both,0.175009,0.435612,0.369596,0.019783
FS305,HEK293T,light,0.17972,0.431796,0.366478,0.022005
FS305,HEK293T,heavy,0.172165,0.354775,0.453307,0.019753
FS306,RNH2A-KO-T3-8,both,0.185776,0.423499,0.376186,0.014539
FS306,RNH2A-KO-T3-8,light,0.194598,0.438878,0.350097,0.016427
FS306,RNH2A-KO-T3-8,heavy,0.18585,0.306893,0.492363,0.014894
FS307,RNH2A-KO-T3-17,both,0.205743,0.287875,0.487914,0.018469
FS307,RNH2A-KO-T3-17,light,0.232386,0.343676,0.40455,0.019389
FS307,RNH2A-KO-T3-17,heavy,0.203571,0.264398,0.513199,0.018832
FS309,RNH2A-KO-T3-8,both,0.181681,0.424583,0.37575,0.017986
FS309,RNH2A-KO-T3-8,light,0.19596,0.486732,0.297364,0.019945
FS309,RNH2A-KO-T3-8,heavy,0.18709,0.351301,0.443268,0.01834
FS310,RNH2A-KO-T3-17,both,0.20923,0.309006,0.461021,0.020743
FS310,RNH2A-KO-T3-17,light,0.227091,0.352211,0.396975,0.023723
FS310,RNH2A-KO-T3-17,heavy,0.209136,0.285951,0.48531,0.019603
FS326,HEK293T,both,0.204805,0.474617,0.296185,0.024393
FS326,HEK293T,light,0.206863,0.541465,0.226691,0.024981
FS326,HEK293T,heavy,0.216299,0.453878,0.305637,0.024186
