library,cat,preferred,bias_pp,rAMP,rCMP,rGMP,rUMP
FS185,CD4+T,+,36.940999,17.945584,8.56603,9.862802,0.566583
FS186,CD4+T,+,10.162597,2.487988,5.138808,2.358315,0.177487
FS187,CD4+T,+,19.107106,7.298575,7.599784,4.208747,0.0
FS188,CD4+T,+,48.655869,23.12659,17.447606,7.907341,0.174332
FS189,CD4+T,+,13.572008,0.512679,10.338947,2.580019,0.140363
FS193,HCT116,+,23.416946,13.534198,9.758715,0.124033,0.0
FS195,WB-GTP-control,+,32.464391,6.398527,22.75244,2.736058,0.577365
FS196,WB-GTP-PTSD,+,22.639892,0.0,20.26311,2.376781,0.0
FS197,hESC-H9,+,24.658419,0.0,24.568178,0.090242,0.0
FS198,hESC-H9,+,16.064157,0.0,16.064157,0.0,0.0
FS199,hESC-H9,+,28.816723,0.0,28.51953,0.297193,0.0
FS201,hESC-H9,+,11.616438,0.0,11.050948,0.56549,0.0
FS203,HEK293T,+,7.880359,0.0,7.16544,0.35018,0.364738
FS257,DLTB,-,64.962097,49.585351,1.508228,13.111603,0.756916
FS258,TLTB,-,67.645499,54.968266,2.008268,9.67613,0.992835
FS259,DLTB,-,42.317343,34.220206,1.359012,5.97011,0.768014
FS260,TLTB,-,50.760372,39.516647,2.266453,8.005525,0.971747
FS261,DLTB,-,64.47298,47.63896,1.697981,14.214626,0.921414
FS262,TLTB,-,60.407065,47.380416,1.823776,10.210403,0.99247
FS263,DLTB,-,8.734318,6.609114,0.101633,1.852045,0.171526
FS264,TLTB,-,32.717051,24.265232,1.141023,6.518326,0.79247
FS300,RNH2A-KO-T3-8,+,0.272519,0.077518,0.189475,0.0,0.005526
FS301,RNH2A-KO-T3-17,+,19.017946,3.754257,9.911228,4.950016,0.402445
FS303,hESC-H9,+,46.354453,7.588701,33.416186,4.455891,0.893675
FS305,HEK293T,+,22.588808,4.377443,12.993331,4.626218,0.591817
FS306,RNH2A-KO-T3-8,+,22.225516,4.675541,15.042218,2.081253,0.426503
FS307,RNH2A-KO-T3-17,-,14.692581,1.374347,0.0,13.079238,0.238997
FS309,RNH2A-KO-T3-8,+,5.191882,0.425757,4.70025,0.0,0.065875
FS310,RNH2A-KO-T3-17,-,9.681556,0.914745,0.0,8.766811,0.0
FS326,HEK293T,-,2.064299,0.511644,0.332338,1.175882,0.044434
FS327,RNH2A-KO-T3-8,+,23.519343,6.728861,16.315459,0.0,0.475023
FS329,RNH2A-KO-T3-17,+,6.826856,0.733816,6.038239,0.0,0.0548
