library,run,sample,cell_category,genotype,fragmentation,n_aligned,n_mismatch,n_rnmp,n_rnmp_published,delta_pct,light,heavy,light_pct,heavy_pct,A_pct,C_pct,G_pct,U_pct,A_pct_pub,C_pct_pub,G_pct_pub,U_pct_pub,comp_max_dev_pp
FS185,SRR23726651,CD4T-1,CD4+T,WT,dsF,146645,3376,143269,143927,-0.4572,98097,45172,68.4705,31.5295,59.65,17.3673,21.7381,1.2445,59.1508,17.536,22.0897,1.2235,0.4992
FS186,SRR23726652,CD4T-1,CD4+T,WT,RE1,372946,2935,365320,371418,-1.6418,201223,164097,55.0813,44.9187,56.2181,16.1735,26.5348,1.0736,56.2181,16.2356,26.4739,1.0724,0.0621
FS187,SRR23726653,CD4T-3,CD4+T,WT,dsF+RE1,11601,1506,9766,9143,6.814,5816,3950,59.5536,40.4464,53.5941,19.7624,23.7968,2.8466,50.793,21.0653,25.2652,2.8765,2.8011
FS188,SRR23726655,CD4T-4,CD4+T,WT,dsF+RE1,14216,2073,11978,11463,4.4927,8903,3075,74.3279,25.6721,56.1947,28.16,13.9255,1.7198,53.9649,29.5821,14.6471,1.8058,2.2298
FS189,SRR23726656,CD4T-2,CD4+T,WT,dsF+RE1,24191,1621,22178,22244,-0.2967,12594,9584,56.786,43.214,56.3306,22.8109,19.2443,1.6142,55.3498,23.4985,19.5558,1.5959,0.9808
FS257,SRR23726667,DLTB-8,DLTB,WT,dsF,1107205,8081,1099124,1100886,-0.1601,192555,906569,17.519,82.481,75.7407,1.6644,21.1714,1.4235,75.7223,1.6782,21.1684,1.4311,0.0184
FS259,SRR23726629,DLTB-P,DLTB,WT,dsF,4653599,21569,4632030,4665409,-0.7155,1335939,3296091,28.8413,71.1587,83.3992,2.447,12.1714,1.9825,83.3439,2.465,12.2023,1.9889,0.0553
FS261,SRR23726627,DLTB-8,DLTB,WT,RE4,1287696,11975,1260162,1244143,1.2876,223849,1036313,17.7635,82.2365,74.5852,1.8373,21.9177,1.6598,74.6688,1.8422,21.8366,1.6524,0.0837
FS263,SRR23726646,DLTB-P,DLTB,WT,RE4,3871862,16551,3810429,3792907,0.462,1738807,2071622,45.6328,54.3672,83.0519,3.0919,11.6089,2.2473,83.0515,3.0951,11.6108,2.2426,0.0048
FS193,SRR23726657,HCT116,HCT116,WT,dsF+RE1,26818,1986,24478,24371,0.439,15105,9373,61.7085,38.2915,57.3495,17.7098,23.5354,1.4053,56.875,17.9435,23.7988,1.3828,0.4745
FS203,SRR23726665,HEK293T-WT,HEK293T,WT,dsF+RE1,43004,13435,28552,26447,7.9593,15401,13151,53.9402,46.0598,26.8352,32.5967,35.9204,4.6477,19.4464,35.8793,39.6264,5.0478,7.3888
FS305,SRR23726641,HEK293T-WT,HEK293T,WT,RE3,1450879,15247,1398883,1412627,-0.9729,857437,541446,61.2944,38.7056,20.9134,41.5063,35.2162,2.3641,20.8461,41.5233,35.2792,2.3514,0.0673
FS326,SRR23726636,HEK293T-WT,HEK293T,WT,dsF,184736,3270,181466,185316,-2.0775,88860,92606,48.9679,51.0321,24.2718,44.8492,27.9882,2.8909,24.0648,44.9783,28.072,2.8848,0.2069
FS301,SRR23726662,HEK293T-RNASEH2A-KO-T3-17,RNH2A-KO-T3-17,RNH2A-KO T3-17,RE1,266185,1807,262226,262453,-0.0865,156048,106178,59.509,40.491,22.3006,35.7711,39.9724,1.9559,22.1864,35.8723,39.9904,1.9508,0.1142
FS307,SRR23726639,HEK293T-RNASEH2A-KO-T3-17,RNH2A-KO-T3-17,RNH2A-KO T3-17,RE2,119864,799,117413,119475,-1.7259,50081,67332,42.6537,57.3463,24.4121,27.2355,46.161,2.1914,24.3423,27.2944,46.1745,2.1887,0.0698
FS310,SRR23726637,HEK293T-RNASEH2A-KO-T3-17,RNH2A-KO-T3-17,RNH2A-KO T3-17,RE3,4866,68,4679,4765,-1.8048,2113,2566,45.1592,54.8408,24.7916,29.1943,43.5563,2.4578,25.0157,29.1081,43.3578,2.5184,0.2241
FS329,SRR23726634,HEK293T-RNASEH2A-KO-T3-17,RNH2A-KO-T3-17,RNH2A-KO T3-17,dsF,73374,793,72581,73525,-1.2839,38768,33813,53.4134,46.5866,26.2658,40.049,31.4738,2.2113,25.9109,40.1714,31.7062,2.2115,0.3549
FS300,SRR23726644,HEK293T-RNASEH2A-KO-T3-8,RNH2A-KO-T3-8,RNH2A-KO T3-8,RE1,182033,1097,179070,179238,-0.0937,89779,89291,50.1363,49.8637,21.6301,27.9997,48.5391,1.8311,21.5311,28.0599,48.5779,1.8311,0.0989
FS306,SRR23726640,HEK293T-RNASEH2A-KO-T3-8,RNH2A-KO-T3-8,RNH2A-KO T3-8,RE3,149824,1025,145063,146680,-1.1024,88652,56411,61.1128,38.8872,22.1704,40.2984,35.7962,1.7351,22.155,40.4868,35.6279,1.7303,0.1884
FS309,SRR23726638,HEK293T-RNASEH2A-KO-T3-8,RNH2A-KO-T3-8,RNH2A-KO T3-8,RE2,53061,506,51985,52039,-0.1038,27342,24643,52.5959,47.4041,21.6851,40.4078,35.7603,2.1468,21.5857,40.2141,36.0441,2.1561,0.2838
FS327,SRR23726635,HEK293T-RNASEH2A-KO-T3-8,RNH2A-KO-T3-8,RNH2A-KO T3-8,dsF,38525,552,37973,38183,-0.55,23452,14521,61.7597,38.2403,26.1423,39.8309,31.7831,2.2437,25.878,39.8135,32.0719,2.2366,0.2888
FS258,SRR23726630,TLTB-8,TLTB,WT,dsF,606263,4764,601499,601126,0.0621,97306,504193,16.1773,83.8227,80.658,2.4196,15.0624,1.86,80.6548,2.4363,15.0499,1.859,0.0166
FS260,SRR23726628,TLTB-P,TLTB,WT,dsF,3045519,13055,3032464,3061782,-0.9575,746587,2285877,24.6198,75.3802,78.7152,3.8292,15.0729,2.3827,78.6985,3.8439,15.0715,2.386,0.0167
FS262,SRR23726647,TLTB-8,TLTB,WT,RE4,1863511,15235,1828700,1808101,1.1393,362018,1466682,19.7965,80.2035,79.4346,2.6126,16.1438,1.809,79.5321,2.6224,16.041,1.8045,0.1027
FS264,SRR23726645,TLTB-P,TLTB,WT,RE4,3269850,13524,3219089,3207539,0.3601,1082949,2136140,33.6415,66.3585,78.322,4.1499,14.8852,2.6429,78.3172,4.1542,14.8886,2.64,0.0048
FS196,SRR23726659,WB-GTP PTSD,WB-GTP-PTSD,WT,dsF+RE1,69354,13935,52487,49533,5.9637,32185,20302,61.3199,38.6801,34.8886,42.7477,18.4103,3.9534,28.5991,47.0111,20.0735,4.3163,6.2895
FS195,SRR23726658,WB-GTP control,WB-GTP-control,WT,dsF+RE1,29266,6098,22326,21350,4.5714,14787,7539,66.2322,33.7678,29.1947,45.8255,21.8714,3.1085,25.1569,48.7681,22.8478,3.2272,4.0378
FS197,SRR23726660,hESC-H9,hESC-H9,WT,dsF,27525,5861,21664,19065,13.6323,13503,8161,62.3292,37.6708,24.9169,55.1099,15.3573,4.616,14.9279,63.1314,17.2987,4.642,9.989
FS198,SRR23726661,hESC-H9,hESC-H9,WT,dsF,17544,5511,12033,9488,26.8234,6983,5050,58.0321,41.9679,33.0175,44.3613,15.0253,7.5958,16.7791,55.86,18.8027,8.5582,16.2384
FS199,SRR23726663,hESC-H9,hESC-H9,WT,RE1,13696,2334,10716,8083,32.5745,6902,3814,64.4084,35.5916,36.6368,44.7835,14.6976,3.882,16.2192,59.4952,19.1637,5.1219,20.4176
FS201,SRR23726664,hESC-H9,hESC-H9,WT,dsF+RE1,15656,4251,10950,8136,34.587,6111,4839,55.8082,44.1918,36.6301,37.0411,15.2785,11.0502,15.5851,49.9631,20.1573,14.2945,21.0451
FS303,SRR23726642,HEK293T-WT,hESC-H9,WT,RE3,412060,5551,402587,409100,-1.592,294602,107985,73.1772,26.8228,19.2361,61.689,17.0977,1.9772,19.0699,61.9665,17.0034,1.9602,0.2775
