library,enzymes,n_enzymes,n_aligned,n_mismatch,n_before,n_noda_removed,n_da_candidates,n_da_removed,n_after,n_published,delta_pct_before,delta_pct_after
FS185,,0,146645,3376,143269,0,0,0,143269,143927,-0.4572,-0.4572
FS186,hpych4v;hpy166ii;eco53ki;rsai;stui,5,372946,2935,370011,2188,2741,2503,365320,371418,-0.3788,-1.6418
FS187,hpych4v;hpy166ii;eco53ki;rsai;stui,5,11601,1506,10095,256,98,73,9766,9143,10.4123,6.814
FS188,hpych4v;hpy166ii;eco53ki;rsai;stui,5,14216,2073,12143,113,67,52,11978,11463,5.9321,4.4927
FS189,hpych4v;hpy166ii;eco53ki;rsai;stui,5,24191,1621,22570,185,228,207,22178,22244,1.4656,-0.2967
FS193,hpych4v;hpy166ii;eco53ki;rsai;stui,5,26818,1986,24832,184,187,170,24478,24371,1.8916,0.439
FS195,hpych4v;hpy166ii;eco53ki;rsai;stui,5,29266,6098,23168,723,153,119,22326,21350,8.5152,4.5714
FS196,hpych4v;hpy166ii;eco53ki;rsai;stui,5,69354,13935,55419,2281,765,651,52487,49533,11.883,5.9637
FS197,,0,27525,5861,21664,0,0,0,21664,19065,13.6323,13.6323
FS198,,0,17544,5511,12033,0,0,0,12033,9488,26.8234,26.8234
FS199,hpych4v;hpy166ii;eco53ki;rsai;stui,5,13696,2334,11362,429,273,217,10716,8083,40.5666,32.5745
FS201,hpych4v;hpy166ii;eco53ki;rsai;stui,5,15656,4251,11405,337,182,118,10950,8136,40.1794,34.587
FS203,hpych4v;hpy166ii;eco53ki;rsai;stui,5,43004,13435,29569,768,290,249,28552,26447,11.8047,7.9593
FS257,,0,1107205,8081,1099124,0,0,0,1099124,1100886,-0.1601,-0.1601
FS258,,0,606263,4764,601499,0,0,0,601499,601126,0.0621,0.0621
FS259,,0,4653599,21569,4632030,0,0,0,4632030,4665409,-0.7155,-0.7155
FS260,,0,3045519,13055,3032464,0,0,0,3032464,3061782,-0.9575,-0.9575
FS261,alui;hpy166ii;pmli;stui;cac8i;hpych4v;pmei,7,1287696,11975,1275721,13200,4333,2359,1260162,1244143,2.5381,1.2876
FS262,alui;hpy166ii;pmli;stui;cac8i;hpych4v;pmei,7,1863511,15235,1848276,15733,6521,3843,1828700,1808101,2.2219,1.1393
FS263,alui;hpy166ii;pmli;stui;cac8i;hpych4v;pmei,7,3871862,16551,3855311,35975,13709,8907,3810429,3792907,1.6453,0.462
FS264,alui;hpy166ii;pmli;stui;cac8i;hpych4v;pmei,7,3269850,13524,3256326,31678,10219,5559,3219089,3207539,1.521,0.3601
FS300,hpych4v;hpy166ii;eco53ki;rsai;stui,5,182033,1097,180936,1425,710,441,179070,179238,0.9473,-0.0937
FS301,hpych4v;hpy166ii;eco53ki;rsai;stui,5,266185,1807,264378,1650,950,502,262226,262453,0.7335,-0.0865
FS303,cviki-1;mlyi;msci;msli,4,412060,5551,406509,3915,5985,7,402587,409100,-0.6333,-1.592
FS305,cviki-1;mlyi;msci;msli,4,1450879,15247,1435632,36739,14651,10,1398883,1412627,1.6285,-0.9729
FS306,cviki-1;mlyi;msci;msli,4,149824,1025,148799,3732,1744,4,145063,146680,1.4446,-1.1024
FS307,alui;pvuii;alei;sspi;drai;haeiii,6,119864,799,119065,1580,558,72,117413,119475,-0.3432,-1.7259
FS309,alui;pvuii;alei;sspi;drai;haeiii,6,53061,506,52555,557,257,13,51985,52039,0.9916,-0.1038
FS310,cviki-1;mlyi;msci;msli,4,4866,68,4798,119,37,0,4679,4765,0.6925,-1.8048
FS326,,0,184736,3270,181466,0,0,0,181466,185316,-2.0775,-2.0775
FS327,,0,38525,552,37973,0,0,0,37973,38183,-0.55,-0.55
FS329,,0,73374,793,72581,0,0,0,72581,73525,-1.2839,-1.2839
