strand,bin_index,n_libraries,frac_libraries,n_categories_enriched,is_common_rez
+,0,21,0.6562,10,False
+,1,27,0.8438,9,False
+,2,20,0.625,9,False
+,3,1,0.0312,1,False
+,4,12,0.375,6,False
+,5,12,0.375,8,False
+,6,4,0.125,3,False
+,7,11,0.3438,4,False
+,8,30,0.9375,10,True
+,9,22,0.6875,9,False
+,10,8,0.25,6,False
+,11,15,0.4688,5,False
+,12,7,0.2188,4,False
+,13,12,0.375,6,False
+,14,10,0.3125,4,False
+,15,8,0.25,3,False
+,16,0,0.0,0,False
+,17,20,0.625,8,False
+,18,2,0.0625,2,False
+,19,0,0.0,0,False
+,20,10,0.3125,5,False
+,21,0,0.0,0,False
+,22,0,0.0,0,False
+,23,11,0.3438,8,False
+,24,6,0.1875,3,False
+,25,11,0.3438,4,False
+,26,21,0.6562,8,False
+,27,3,0.0938,2,False
+,28,4,0.125,3,False
+,29,21,0.6562,10,False
+,30,17,0.5312,10,False
+,31,14,0.4375,6,False
+,32,27,0.8438,10,True
+,33,1,0.0312,1,False
+,34,19,0.5938,8,False
+,35,32,1.0,10,True
+,36,22,0.6875,10,False
+,37,4,0.125,2,False
+,38,20,0.625,10,False
+,39,13,0.4062,7,False
+,40,26,0.8125,10,True
+,41,28,0.875,10,True
+,42,0,0.0,0,False
+,43,8,0.25,3,False
+,44,0,0.0,0,False
+,45,9,0.2812,5,False
+,46,12,0.375,8,False
+,47,1,0.0312,1,False
+,48,16,0.5,6,False
+,49,16,0.5,8,False
+,50,2,0.0625,2,False
+,51,0,0.0,0,False
+,52,1,0.0312,1,False
+,53,0,0.0,0,False
+,54,20,0.625,7,False
+,55,5,0.1562,4,False
+,56,5,0.1562,4,False
+,57,1,0.0312,1,False
+,58,21,0.6562,9,False
+,59,6,0.1875,4,False
+,60,1,0.0312,1,False
+,61,0,0.0,0,False
+,62,25,0.7812,10,False
+,63,7,0.2188,4,False
+,64,4,0.125,4,False
+,65,29,0.9062,10,True
+,66,1,0.0312,1,False
+,67,30,0.9375,10,True
+,68,20,0.625,9,False
+,69,17,0.5312,9,False
+,70,11,0.3438,7,False
+,71,11,0.3438,6,False
+,72,12,0.375,6,False
+,73,12,0.375,6,False
+,74,7,0.2188,6,False
+,75,21,0.6562,10,False
+,76,1,0.0312,1,False
+,77,13,0.4062,7,False
+,78,7,0.2188,6,False
+,79,4,0.125,4,False
+,80,1,0.0312,1,False
+,81,27,0.8438,10,True
+,82,30,0.9375,10,True
-,0,5,0.1562,4,False
-,1,0,0.0,0,False
-,2,23,0.7188,8,False
-,3,24,0.75,10,False
-,4,15,0.4688,8,False
-,5,24,0.75,10,False
-,6,22,0.6875,10,False
-,7,16,0.5,8,False
-,8,5,0.1562,3,False
-,9,9,0.2812,6,False
-,10,0,0.0,0,False
-,11,11,0.3438,7,False
-,12,21,0.6562,9,False
-,13,7,0.2188,4,False
-,14,10,0.3125,7,False
-,15,23,0.7188,10,False
-,16,21,0.6562,8,False
-,17,11,0.3438,6,False
-,18,9,0.2812,3,False
-,19,0,0.0,0,False
-,20,3,0.0938,2,False
-,21,23,0.7188,10,False
-,22,7,0.2188,4,False
-,23,10,0.3125,6,False
-,24,1,0.0312,1,False
-,25,4,0.125,3,False
-,26,15,0.4688,8,False
-,27,5,0.1562,4,False
-,28,10,0.3125,5,False
-,29,23,0.7188,10,False
-,30,4,0.125,2,False
-,31,17,0.5312,7,False
-,32,6,0.1875,4,False
-,33,13,0.4062,8,False
-,34,15,0.4688,8,False
-,35,2,0.0625,2,False
-,36,6,0.1875,6,False
-,37,6,0.1875,5,False
-,38,32,1.0,10,True
-,39,28,0.875,10,True
-,40,2,0.0625,2,False
-,41,1,0.0312,1,False
-,42,0,0.0,0,False
-,43,6,0.1875,5,False
-,44,4,0.125,4,False
-,45,18,0.5625,10,False
-,46,15,0.4688,7,False
-,47,16,0.5,6,False
-,48,25,0.7812,8,False
-,49,12,0.375,6,False
-,50,3,0.0938,3,False
-,51,0,0.0,0,False
-,52,7,0.2188,5,False
-,53,7,0.2188,5,False
-,54,3,0.0938,2,False
-,55,10,0.3125,5,False
-,56,9,0.2812,6,False
-,57,1,0.0312,1,False
-,58,4,0.125,4,False
-,59,9,0.2812,5,False
-,60,9,0.2812,5,False
-,61,5,0.1562,3,False
-,62,13,0.4062,6,False
-,63,13,0.4062,6,False
-,64,10,0.3125,5,False
-,65,26,0.8125,10,True
-,66,10,0.3125,6,False
-,67,8,0.25,6,False
-,68,7,0.2188,4,False
-,69,8,0.25,5,False
-,70,22,0.6875,8,False
-,71,4,0.125,3,False
-,72,0,0.0,0,False
-,73,20,0.625,10,False
-,74,28,0.875,10,True
-,75,0,0.0,0,False
-,76,2,0.0625,1,False
-,77,10,0.3125,5,False
-,78,7,0.2188,4,False
-,79,5,0.1562,4,False
-,80,17,0.5312,8,False
-,81,31,0.9688,10,True
-,82,26,0.8125,10,True
