pos,strand,library,cat,ours_count,ours_ef,paper_ef,paper_count,ef_pubtotal,abs_dev,rel_dev_pct,dev_pubtotal_pct
7067,+,FS185,CD4+T,62,7.1703,7.0224,61,7.1375,0.1479,2.1061,1.6393
7067,+,FS186,CD4+T,286,12.9715,12.8923,289,12.7585,0.0791,0.6138,-1.0381
7067,+,FS187,CD4+T,13,22.0558,23.5587,13,23.5587,1.5029,-6.3793,0.0
7067,+,FS188,CD4+T,11,15.2161,15.8998,11,15.8998,0.6836,-4.2995,-0.0
7067,+,FS189,CD4+T,38,28.3895,28.3053,38,28.3053,0.0842,0.2976,0.0
7067,+,FS193,HCT116,12,8.1227,8.1584,12,8.1584,0.0357,-0.4371,-0.0
7067,+,FS195,WB-GTP-control,50,37.107,38.8033,50,38.8033,1.6963,-4.3716,-0.0
7067,+,FS196,WB-GTP-PTSD,166,52.4026,55.8622,167,55.5277,3.4596,-6.1932,-0.5988
7067,+,FS197,hESC-H9,53,40.5353,45.1921,52,46.0612,4.6568,-10.3045,1.9231
7067,+,FS198,hESC-H9,15,20.6545,26.1947,15,26.1947,5.5402,-21.1502,0.0
7067,+,FS199,hESC-H9,32,49.4782,65.5954,32,65.5954,16.1173,-24.5707,0.0
7067,+,FS201,hESC-H9,17,25.7236,36.6571,18,34.6206,10.9335,-29.8265,-5.5556
7067,+,FS203,HEK293T,33,19.1502,21.3009,34,20.6744,2.1507,-10.0969,-2.9412
7067,+,FS257,DLTB,6,0.0904,0.0903,6,0.0903,0.0001,0.1603,0.0
7067,+,FS258,TLTB,5,0.1377,0.1378,5,0.1378,0.0001,-0.062,0.0
7067,+,FS259,DLTB,102,0.3649,0.3622,102,0.3622,0.0026,0.7206,0.0
7067,+,FS260,TLTB,104,0.5682,0.5628,104,0.5628,0.0054,0.9668,0.0
7067,+,FS261,DLTB,29,0.3813,0.3862,29,0.3862,0.0049,-1.2712,0.0
7067,+,FS262,TLTB,54,0.4893,0.4857,53,0.4948,0.0036,0.7391,1.8868
7067,+,FS263,DLTB,470,2.0437,2.0532,470,2.0532,0.0094,-0.4598,-0.0
7067,+,FS264,TLTB,331,1.7037,1.7098,331,1.7098,0.0061,-0.3588,0.0
7067,+,FS300,RNH2A-KO-T3-8,333,30.8118,30.4132,329,30.783,0.3986,1.3108,1.2158
7067,+,FS301,RNH2A-KO-T3-17,778,49.1587,49.053,777,49.1162,0.1056,0.2154,0.1287
7067,+,FS303,hESC-H9,1693,69.6777,68.5684,1693,68.5684,1.1093,1.6178,-0.0
7067,+,FS305,HEK293T,3058,36.2203,35.8445,3056,35.8679,0.3759,1.0486,0.0654
7067,+,FS306,RNH2A-KO-T3-8,873,99.7135,98.3883,871,98.6142,1.3252,1.3469,0.2296
7067,+,FS307,RNH2A-KO-T3-17,4,0.5645,0.5547,4,0.5547,0.0097,1.7562,-0.0
7067,+,FS309,RNH2A-KO-T3-8,29,9.2431,9.2335,29,9.2335,0.0096,0.1039,0.0
7067,+,FS310,RNH2A-KO-T3-17,10,35.4114,34.7723,10,34.7723,0.6391,1.838,0.0
7067,+,FS326,HEK293T,190,17.3482,16.8984,189,16.9878,0.4498,2.6619,0.5291
7067,+,FS327,RNH2A-KO-T3-8,43,18.7625,18.6593,43,18.6593,0.1032,0.553,0.0
7067,+,FS329,RNH2A-KO-T3-17,130,29.6768,29.2957,130,29.2957,0.381,1.3006,0.0
7758,-,FS185,CD4+T,49,5.6668,5.5258,48,5.6409,0.141,2.5522,2.0833
7758,-,FS186,CD4+T,465,21.09,20.6991,464,20.7437,0.3909,1.8883,0.2155
7758,-,FS187,CD4+T,68,115.3688,123.23,68,123.23,7.8612,-6.3793,0.0
7758,-,FS188,CD4+T,22,30.4323,31.7995,22,31.7995,1.3672,-4.2995,0.0
7758,-,FS189,CD4+T,83,62.0086,61.8246,83,61.8246,0.184,0.2976,0.0
7758,-,FS193,HCT116,170,115.0719,116.257,171,115.5771,1.1851,-1.0194,-0.5848
7758,-,FS195,WB-GTP-control,34,25.2327,26.3862,34,26.3862,1.1535,-4.3716,0.0
7758,-,FS196,WB-GTP-PTSD,115,36.303,38.468,115,38.468,2.165,-5.6281,0.0
7758,-,FS197,hESC-H9,59,45.1242,51.2757,59,51.2757,6.1515,-11.9969,-0.0
7758,-,FS198,hESC-H9,15,20.6545,26.1947,15,26.1947,5.5402,-21.1502,0.0
7758,-,FS199,hESC-H9,4,6.1848,8.1994,4,8.1994,2.0147,-24.5707,0.0
7758,-,FS201,hESC-H9,21,31.7762,42.7666,21,42.7666,10.9904,-25.6986,-0.0
7758,-,FS203,HEK293T,79,45.8445,49.4934,79,49.4934,3.6489,-7.3725,-0.0
7758,-,FS257,DLTB,586,8.8338,8.8046,585,8.8197,0.0292,0.3315,0.1709
7758,-,FS258,TLTB,212,5.8398,5.8434,212,5.8434,0.0036,-0.062,0.0
7758,-,FS259,DLTB,1153,4.1243,4.0877,1151,4.0948,0.0366,0.8956,0.1738
7758,-,FS260,TLTB,732,3.9996,3.9613,732,3.9613,0.0383,0.9668,-0.0
7758,-,FS261,DLTB,276,3.6289,3.6623,275,3.6757,0.0334,-0.9122,0.3636
7758,-,FS262,TLTB,516,4.6752,4.7285,516,4.7285,0.0533,-1.1264,0.0
7758,-,FS263,DLTB,884,3.8439,3.8486,881,3.8617,0.0047,-0.1209,0.3405
7758,-,FS264,TLTB,882,4.5397,4.5561,882,4.5561,0.0163,-0.3588,-0.0
7758,-,FS300,RNH2A-KO-T3-8,316,29.2389,29.2115,316,29.2115,0.0274,0.0938,-0.0
7758,-,FS301,RNH2A-KO-T3-17,555,35.0682,34.9747,554,35.0379,0.0935,0.2672,0.1805
7758,-,FS303,hESC-H9,128,5.268,5.1841,128,5.1841,0.0839,1.6178,0.0
